case_id,name,severity,question,expected_chunks,expected_keywords,golden_answer,category,owner,min_pass_rate,last_reviewed_at
HR001,有給申請期限,S1,"有給休暇の申請期限はいつですか？","就業規則.md@8794322103c34064#chunk0","有給;申請;営業日;5営業日前","有給休暇は5営業日前までに勤怠管理システムから申請し上長承認を得ます",deadline,hr-team,100,2026-03-30
HR002,有給申請手順,S2,"有給休暇はどの手順で申請しますか？","","有給;申請;システム","",procedure,hr-team,85,2026-03-30
HR003,経費精算締め日,S1,"経費精算の締め日はいつですか？","経費精算ガイドライン.md@bdd0e3fbc459b02d#chunk0","経費;締め日;申請","経費精算の締め日は毎月25日で25日が休日の場合は前営業日です",deadline,finance-team,100,2026-03-30
HR004,経費証憑要件,S2,"経費精算に必要な証憑は何ですか？","","経費;証憑;レシート","",procedure,finance-team,85,2026-03-30
HR005,在宅勤務承認条件,S2,"在宅勤務を利用する際の承認条件は何ですか？","","在宅勤務;承認;上司","",policy,hr-team,85,2026-03-30
HR006,打刻漏れ修正期限,S1,"打刻漏れの修正期限はいつまでですか？","就業規則.md@8794322103c34064#chunk0","打刻漏れ;修正;期限","打刻漏れは翌営業日までに上長へ報告し勤怠管理システムで修正申請します",deadline,hr-team,100,2026-03-30
HR007,育児休業延長例外,S1,"育児休業の延長が認められる例外条件は何ですか？","福利厚生制度.md@68e9eb0ca43005aa#chunk0","育児休業;延長;例外","育児休業は原則子が1歳までですが保育所に入所できない場合などは最長2歳まで延長できます",exception,hr-team,100,2026-03-30
HR008,懲戒解雇事由,S1,"懲戒解雇の主な事由は何ですか？","就業規則.md@8794322103c34064#chunk0","懲戒;解雇;規程","懲戒解雇の主な事由は重大な背信行為 無断欠勤14日以上 刑事有罪判決 機密情報漏洩 就業規則への重大違反です",compliance,legal-team,100,2026-03-30
HR009,個人情報持出しルール,S1,"個人情報の持ち出しに関するルールは何ですか？","福利厚生制度.md@68e9eb0ca43005aa#chunk0","個人情報;持ち出し;禁止","個人情報の社外持ち出しは原則禁止で業務上必要な場合は情報セキュリティ担当の承認が必要です",compliance,legal-team,100,2026-03-30
HR010,交通費月額上限,S1,"通勤交通費の月額上限はいくらですか？","経費精算ガイドライン.md@bdd0e3fbc459b02d#chunk0","交通費;上限;月額","通勤交通費の月額上限は50000円です",policy,finance-team,100,2026-03-30
HR011,残業事前申請手順,S2,"残業をする場合の事前申請手順は何ですか？","","残業;申請;承認","",procedure,hr-team,85,2026-03-30
HR012,問い合わせエスカレーション先,S2,"就業規則の解釈に迷った場合の問い合わせ先はどこですか？","","問い合わせ;窓口;担当","",escalation,hr-team,80,2026-03-30
